ID,postTime,nLike,prediction,probability
15188811743,20191109-204253,17,web_site, 62.11580038070679
283427578,20191110-211900,14,water_jug, 15.866614878177643
4092102570,20191110-151330,2,jersey, 37.186092138290405
9984123994,20191109-004346,9,abaya, 14.688089489936829
2189191982,20191109-185521,1,lipstick, 55.78652620315552
15782049580,20191110-224746,2,pug, 37.62436509132385
24099090543,20191109-154550,1,lion, 90.23362994194031
8654998654,20191108-204049,1,wig, 26.38469934463501
382211035,20191110-171436,1,kimono, 29.11931276321411
7393005122,20191110-222529,4,web_site, 48.0994313955307
1771580163,20191107-104915,2,carton, 40.59678614139557
325924999,20191107-113559,1,book_jacket, 54.16473150253296
4651856517,20191101-174423,135,pickelhaube, 33.17973017692566
2121578868,20191108-183508,2,cauliflower, 63.68287801742554
1520864034,20191109-202907,9,brass, 65.38926959037781
8966382787,20190506-113954,435,mosque, 63.32000494003296
22508460489,20191110-163135,2,gown, 51.472026109695435
6274131916,20191110-213212,7,park_bench, 22.030939161777496
4696032191,20191109-195035,20,scoreboard, 51.44069194793701
54651225,20191104-062558,333,palace, 64.05816674232483
1212767448,20191108-194133,1,web_site, 99.59827661514282
15444356671,20191110-231908,6,television, 38.61149251461029
186139521,20191108-164245,3,cab, 22.252769768238068
1915881778,20191110-165338,1,viaduct, 34.15637016296387
368163216,20191108-111949,1,seat_belt, 61.82519197463989
8109257465,20191108-120535,1,jigsaw_puzzle, 97.91456460952759
363432858,20191110-154848,3,marimba, 19.822698831558228
24309705786,20191109-185832,1,hip, 34.81590151786804
7118930953,20191110-113615,2,sweatshirt, 27.069091796875
1416002167,20191108-123730,8,soccer_ball, 18.533502519130707
5475502749,20191107-102527,3,web_site, 98.94424676895142
6717696000,20191109-215913,2,palace, 25.73290765285492
13608604174,20191108-215135,8,fur_coat, 24.190641939640045
3145894930,20191108-223518,11,diamondback, 16.885453462600708
18042318077,20191109-194933,1,web_site, 23.055410385131836
8685588142,20191022-085515,9,common_iguana, 29.85604703426361
21631178753,20190928-142648,152,shoe_shop, 35.53415238857269
1448545993,20191109-222626,263,stole, 11.683300882577896
4562071899,20191107-205200,1,beer_glass, 77.30712294578552
528506961,20191108-091221,3,pot, 23.128077387809753
8730501956,20191105-120447,140,sunglasses, 76.4055609703064
21656061326,20191108-195233,1,oil_filter, 28.815114498138428
11918920471,20191109-122902,1,limousine, 63.30050826072693
243173191,20191108-130132,5,tractor, 82.6662540435791
13553902552,20191110-232028,3,sock, 13.552358746528625
22515011165,20191109-203423,3,web_site, 60.28294563293457
395021577,20191110-124359,2,palace, 77.71351933479309
7401903465,20190517-092540,679,goldfish, 84.01387333869934
319729275,20191109-020134,3,unicycle, 18.20129156112671
2293220921,20191107-080952,2,dumbbell, 21.348083019256592
1903567238,20191110-153249,1,oscilloscope, 32.82530605792999
5685460117,20191107-113329,3,racer, 66.01999402046204
6742540367,20191108-181637,139,fountain, 88.5755181312561
3570756052,20191110-195803,3,chainlink_fence, 43.069469928741455
23588285308,20191109-131157,1,maze, 21.407578885555267
239547389,20191109-030133,120,tray, 26.560938358306885
16413576293,20191110-140538,2,tobacco_shop, 33.552610874176025
17877304239,20191107-202725,2,stage, 19.101354479789734
2958584689,20190122-191707,275,bookshop, 13.547901809215546
7473033508,20191109-190302,2,stopwatch, 98.01399111747742
2013318901,20191108-090906,1,dome, 52.35772132873535
3436645497,20191108-100803,2,suspension_bridge, 60.80700755119324
8730501956,20191105-120447,145,sunglasses, 76.4055609703064
1343630430,20191105-122128,67,television, 13.508433103561401
2358385503,20191110-100223,5,potpie, 68.4588372707367
7319267273,20191108-231259,1,cash_machine, 52.57009267807007
5671342233,20190207-194003,71,brassiere, 33.25847387313843
9662740675,20191108-173647,6,park_bench, 18.739880621433258
7224559922,20191108-090219,3,chainlink_fence, 15.28894156217575
6002856137,20191110-144037,1,web_site, 77.85494327545166
199092514,20191103-220539,93,dam, 67.27346777915955
4591839727,20191110-145838,151,lab_coat, 50.28168559074402
3245432186,20191110-173727,5,toyshop, 15.434025228023529
1428568292,20191109-115502,1,altar, 28.24404239654541
14906376128,20191108-165723,5,mask, 29.043114185333252
5487414482,20191109-021110,2,cab, 28.181779384613037
6518222764,20191108-093659,1,butternut_squash, 30.207565426826477
21038731,20191111-002514,2,beer_glass, 50.40643811225891
5991712355,20191110-212122,11,wig, 20.955336093902588
7135897201,20191108-104610,1,wing, 77.92067527770996
21496517115,20191109-192906,1,ballplayer, 79.55555319786072
9707080951,20191107-200322,1,necklace, 33.696410059928894
8791262757,20191109-124110,1,bearskin, 17.570076882839203
554147371,20191110-234434,1,picket_fence, 51.02729797363281
1340184572,20191110-104234,15,groom, 65.89192748069763
13257668214,20190517-151850,3498,face_powder, 11.077871918678284
1528535648,20191109-155941,1,triumphal_arch, 95.767343044281
1340143340,20191110-172649,2,picket_fence, 17.2435000538826
8152867966,20191109-162625,25,bikini, 58.91674757003784
8438146598,20191107-214920,1,stage, 94.82450485229492
1708186922,20191110-144229,1,maillot, 35.57721972465515
1489137597,20191108-202858,1,web_site, 22.24424183368683
10614399275,20191108-164023,1,bath_towel, 97.77482748031616
3043381057,20191108-104425,1,espresso, 45.23067772388458
2047328136,20191107-084059,3,abaya, 55.55688738822937
15705906443,20191110-003617,1,web_site, 30.27864098548889
6742540367,20190809-101532,609,swab, 45.08921205997467
3674712755,20191108-092409,2,web_site, 46.364420652389526
8460510225,20191107-192900,9,caldron, 30.093875527381897
6139133497,20191109-141525,3,meat_loaf, 23.345178365707397
243760434,20191107-194051,4,lipstick, 42.34798848628998
6969556200,20191108-194129,2,tabby, 77.9802918434143
6068860899,20191024-171311,68,sunglass, 51.38353705406189
198459812,20191109-135759,6,web_site, 40.36341905593872
12368455489,20191110-003627,3,ballplayer, 99.86985921859741
15045605760,20191110-112632,2,plastic_bag, 31.455180048942566
22091647877,20191109-025755,2,book_jacket, 38.98031711578369
22710789472,20191107-195109,13,chainlink_fence, 37.04215586185455
409638865,20191103-171334,398,pier, 19.216060638427734
779125370,20191109-144022,7,chocolate_sauce, 29.37972843647003
2019877759,20191107-214821,2,vestment, 47.52200543880463
18381610443,20191109-132440,1,palace, 95.89087963104248
5890153836,20191109-005027,1,prison, 27.376464009284973
247815931,20191108-220102,1,miniskirt, 24.93845224380493
3708341723,20191107-085423,4,cup, 56.50452971458435
2596536678,20191109-222835,1,breastplate, 33.65887105464935
22367079028,20191107-220032,3,Saint_Bernard, 35.62423884868622
13527964846,20191110-135452,3,miniskirt, 21.836280822753906
2413360146,20191110-181039,1,studio_couch, 82.95557498931885
48898727,20191108-181255,11,groom, 81.61958456039429
1623711846,20191109-020316,1,stage, 99.11772012710571
1483848333,20191108-130143,2,neck_brace, 50.800514221191406
5436457028,20191110-180024,1,chocolate_sauce, 19.988535344600677
1566412186,20191108-233800,5,castle, 51.13494396209717
1355180363,20191108-171112,19,microphone, 79.48576211929321
8884724051,20191109-215627,1,ballplayer, 56.9987952709198
526852572,20191109-010650,4,castle, 81.10582828521729
4232262092,20191108-092316,16,scoreboard, 25.863170623779297
2215258530,20191109-154524,1,Egyptian_cat, 67.43035316467285
5842725721,20191107-114747,1,palace, 59.722352027893066
200213516,20191109-212536,1,matchstick, 16.536714136600494
214140483,20191108-092410,4,television, 58.45988988876343
10900069668,20191109-170055,2,bow_tie, 15.362000465393066
20312914060,20191109-014818,2,carton, 96.05057835578918
435863864,20191110-222520,290,fur_coat, 43.40924024581909
1688311434,20191108-173826,5,obelisk, 14.792011678218842
7715891729,20191107-114510,1,broom, 39.36847150325775
8246769626,20191110-180102,1,maillot, 15.885770320892334
6936519253,20191109-152311,1,packet, 53.817301988601685
2701573781,20191108-220158,10,fountain, 51.35370492935181
378894098,20191107-093751,10,television, 25.02715289592743
7238267130,20191107-095821,134,tray, 50.744980573654175
535010084,20191108-200702,102,stole, 88.38286995887756
17457026482,20191109-232938,31,toilet_tissue, 12.868529558181763
19125192158,20191108-123123,2,web_site, 42.61597692966461
21720447081,20191109-230209,2,walking_stick, 24.543623626232147
179638853,20191107-112258,2,sliding_door, 23.223958909511566
2049063649,20191109-200109,1,reel, 30.88287115097046
42764557,20191109-155529,1,church, 22.56777435541153
4713915410,20191109-001751,2,suit, 35.27272045612335
2249470143,20191109-205421,13,torch, 60.89485287666321
969881972,20191107-065433,143,prison, 23.485617339611053
16262368759,20191108-193148,2,swing, 30.69842755794525
3803287973,20190618-210610,226,web_site, 15.362076461315155
7308410625,20191108-200309,3,mantis, 12.100991606712341
579671722,20191110-173505,9,running_shoe, 34.88129377365112
24739186714,20191110-141953,2,groom, 50.26680827140808
4621760448,20191108-195347,1,desktop_computer, 34.30418074131012
1496728143,20191109-235151,4,candle, 21.90118581056595
9364433837,20191110-123121,7,stage, 98.99016618728638
518003606,20191108-122851,2,stole, 9.164877235889435
7238267130,20191107-095821,155,tray, 50.744980573654175
7324218151,20191107-194001,17,drumstick, 21.640153229236603
1536633946,20191107-200136,20,stole, 62.148863077163696
6306268611,20191108-195342,1,comic_book, 12.39355280995369
5869258492,20191107-083109,1,coffee_mug, 50.585782527923584
25288141,20191110-122221,2,prison, 53.93463373184204
18277130563,20191108-170516,1,jellyfish, 91.10612273216248
19628091298,20191109-150038,3,abaya, 31.485536694526672
4829896172,20191109-232331,2,pedestal, 37.28767931461334
24079872856,20191108-114054,5,dining_table, 19.117403030395508
5392272838,20191107-091723,3,pick, 12.165247648954391
3593849142,20191108-105517,2,fountain, 31.93262219429016
6550211382,20191108-164058,1,menu, 41.860103607177734
19803604735,20191110-185601,1,shopping_basket, 42.158421874046326
1134010828,20191108-093330,1,notebook, 13.639593124389648
6093569479,20191108-180159,1,web_site, 18.400034308433533
12334190843,20191110-114814,6,pineapple, 10.25226041674614
15139777680,20191107-201520,1,web_site, 81.77498579025269
2088617937,20191110-120047,3,tray, 39.74701762199402
18769789124,20191108-095803,1,cloak, 56.85356259346008
1426977740,20191108-233334,7,jean, 17.625246942043304
1541888162,20191107-092938,1,mountain_bike, 83.45723748207092
23344695283,20191109-200150,1,tennis_ball, 15.580770373344421
2077979768,20191109-223039,1,marimba, 7.165340334177017
2138964578,20191109-211642,1,throne, 98.00312519073486
3081241000,20191107-210105,14,stage, 27.177029848098755
409638865,20190622-222341,793,dome, 93.11667084693909
1252882120,20191110-124225,7,vacuum, 56.91487193107605
18018355751,20191109-211230,8,stage, 18.648505210876465
2055972676,20191109-134525,29,academic_gown, 58.867454528808594
905546243,20191108-093619,2,jean, 32.85345137119293
3011815999,20191108-163105,2,abaya, 96.94789052009583
15518817647,20191108-113102,2,dough, 47.53199517726898
6238268273,20191108-204025,1,palace, 62.18120455741882
3493370365,20191110-215340,2,projectile, 28.150323033332825
8490722969,20191110-111519,2,buckle, 37.22333014011383
12382626,20191110-132259,4,web_site, 68.73329281806946
2928700739,20191110-125329,2,fountain, 92.54637360572815
7393714846,20191109-204349,1,shower_curtain, 79.83018159866333
