ID,postTime,nLike,prediction,probability
24973709443,20191119-001755,3,chain, 31.034737825393677
207822948,20191119-001746,4,water_bottle, 19.389835000038147
4151202487,20191119-001741,1,saltshaker, 17.497169971466064
3655729292,20191119-001650,1,shower_cap, 99.96846914291382
1776841672,20191119-001602,3,swimming_trunks, 35.442915558815
358017892,20191119-001556,4,pajama, 10.89375987648964
2307767444,20191119-001548,1,beer_glass, 87.0399534702301
7013870,20191119-001538,6,jean, 25.01043975353241
11052486256,20191119-001513,1,sarong, 41.09682738780975
4259174789,20191119-001941,1,carton, 27.02299654483795
505450050,20191119-001453,40,shower_curtain, 35.487815737724304
197459987,20191119-001448,4,menu, 73.10453653335571
26623885,20191119-001421,4,bannister, 66.82748794555664
336366375,20191119-001401,8,monitor, 34.160348773002625
1900004199,20191119-001352,1,pick, 27.87064015865326
24834595142,20191119-001349,12,jigsaw_puzzle, 40.741437673568726
4959623700,20191119-001330,2,cup, 86.36465668678284
3124176261,20191119-001327,4,web_site, 96.63609266281128
5752683358,20191119-001303,12,water_bottle, 58.854979276657104
981307207,20191119-001211,4,soap_dispenser, 24.908922612667084
334614147,20191119-001925,1,vestment, 30.414214730262756
11331711530,20191119-001206,1,barbershop, 13.304424285888672
245055311,20191119-001202,1,abaya, 74.88486766815186
633736382,20191119-001114,11,drumstick, 10.78680157661438
1936120164,20191119-001103,5,notebook, 77.14468240737915
2071039296,20191119-001010,3,web_site, 39.64577317237854
21313119024,20191119-000904,1,shower_cap, 54.83870506286621
1292241113,20191119-000856,10,Band_Aid, 75.33376812934875
4652661410,20191119-000856,5,packet, 25.527626276016235
5088920527,20191119-000852,1,ice_cream, 35.31690239906311
26623885,20191119-000847,2,lampshade, 9.325093775987625
195337696,20191119-001907,2,breastplate, 34.02203619480133
21897465286,20191119-000829,1,ice_lolly, 73.1737494468689
2282467801,20191119-000752,37,Christmas_stocking, 54.374003410339355
8435974679,20191119-000737,15,dining_table, 25.368383526802063
9273954679,20191119-000720,7,neck_brace, 28.39209735393524
230329590,20191119-000634,7,sunglasses, 54.200148582458496
35217677,20191118-233131,41,military_uniform, 61.08848452568054
21313119024,20191117-192220,12,syringe, 18.548966944217682
16815200839,20191115-080513,55,umbrella, 93.36622357368469
5643655160,20190603-092907,56,cinema, 29.40804660320282
1233316703,20190128-124710,125,cowboy_hat, 18.3393657207489
24843680348,20191119-001857,1,tray, 13.247378170490265
13602021127,20191119-001855,1,plastic_bag, 14.195232093334198
13982575797,20191119-001822,1,malinois, 50.33971667289734
939617788,20191119-001814,1,drum, 48.01934063434601
5816300412,20191119-001808,1,pill_bottle, 52.70146727561951
