,ID,hashtag,prediction
16,4959623700.0,STARBUCKS,cup
17,3124176261.0,STARBUCKS,web_site
25,2071039296.0,STARBUCKS,web_site
28,4652661410.0,STARBUCKS,packet
29,5088920527.0,STARBUCKS,ice_cream
33,2282467801.0,STARBUCKS,Christmas_stocking
55,8761364577.0,STARBUCKS,coffee_mug
60,2156726908.0,STARBUCKS,espresso
63,19003337592.0,STARBUCKS,cup
64,19450573232.0,STARBUCKS,cup
67,33933088.0,STARBUCKS,eggnog
69,41132944.0,STARBUCKS,Christmas_stocking
71,6968476477.0,STARBUCKS,wig
78,13925483497.0,STARBUCKS,espresso
80,242854464.0,STARBUCKS,wig
91,1172806686.0,STARBUCKS,cup
96,1233316703.0,STARBUCKS,ice_cream
97,1233316703.0,STARBUCKS,packet
98,3623015925.0,STARBUCKS,coffee_mug
101,5578553800.0,STARBUCKS,bucket
104,11384442979.0,STARBUCKS,coffee_mug
106,1364253540.0,STARBUCKS,eggnog
108,1428645911.0,STARBUCKS,coffee_mug
115,21513691863.0,STARBUCKS,web_site
120,2968065765.0,STARBUCKS,ice_cream
121,3041997128.0,STARBUCKS,coffee_mug
124,330109974.0,STARBUCKS,ice_cream
125,3407370287.0,STARBUCKS,cup
126,3711940798.0,STARBUCKS,wig
127,3988798896.0,STARBUCKS,ice_cream
128,4004273245.0,STARBUCKS,web_site
132,5666871579.0,STARBUCKS,ice_cream
141,1018755875.0,STARBUCKS,Christmas_stocking
144,11188215945.0,STARBUCKS,bucket
147,1271034691.0,STARBUCKS,ice_cream
156,21485174972.0,STARBUCKS,web_site
172,6096840633.0,STARBUCKS,packet
178,8460861509.0,STARBUCKS,packet
179,10910788205.0,STARBUCKS,coffee_mug
187,1986231.0,STARBUCKS,web_site
190,247463.0,STARBUCKS,web_site
194,286761870.0,STARBUCKS,coffee_mug
197,39692061.0,STARBUCKS,web_site
198,402770250.0,STARBUCKS,espresso
199,4151948120.0,STARBUCKS,coffee_mug
206,5763899482.0,STARBUCKS,bucket
207,5857729803.0,STARBUCKS,eggnog
211,7816999532.0,STARBUCKS,ice_cream
213,789875.0,STARBUCKS,coffee_mug
215,8440979855.0,STARBUCKS,ice_cream
216,8529380891.0,STARBUCKS,eggnog
217,12181333747.0,STARBUCKS,bucket
220,1469208601.0,STARBUCKS,ice_cream
223,19047705493.0,STARBUCKS,coffee_mug
226,2088609514.0,STARBUCKS,espresso
230,24089593697.0,STARBUCKS,eggnog
233,2531624414.0,STARBUCKS,Christmas_stocking
236,3136541542.0,STARBUCKS,Christmas_stocking
238,335537860.0,STARBUCKS,ice_cream
242,4483507565.0,STARBUCKS,espresso
243,4678810701.0,STARBUCKS,coffee_mug
244,50611890.0,STARBUCKS,bucket
245,5330433715.0,STARBUCKS,Christmas_stocking
247,5518321885.0,STARBUCKS,coffee_mug
250,8147766455.0,STARBUCKS,cup
251,8244264101.0,STARBUCKS,eggnog
260,1377755327.0,STARBUCKS,packet
261,14385937.0,STARBUCKS,Christmas_stocking
269,1934962406.0,STARBUCKS,eggnog
271,2044534166.0,STARBUCKS,espresso
273,239653.0,STARBUCKS,ice_cream
276,24767153146.0,STARBUCKS,Christmas_stocking
278,2957339406.0,STARBUCKS,Christmas_stocking
280,3227953809.0,STARBUCKS,eggnog
281,3265919823.0,STARBUCKS,eggnog
282,32882439.0,STARBUCKS,Christmas_stocking
286,5965140968.0,STARBUCKS,espresso
295,1411927046.0,STARBUCKS,Christmas_stocking
297,1441382740.0,STARBUCKS,packet
302,187001372.0,STARBUCKS,packet
307,21646604668.0,STARBUCKS,ice_cream
312,25355867.0,STARBUCKS,coffee_mug
313,259399273.0,STARBUCKS,cup
314,26653902.0,STARBUCKS,cup
317,375262561.0,STARBUCKS,Christmas_stocking
321,52784866.0,STARBUCKS,packet
323,5458894750.0,STARBUCKS,web_site
329,9217312791.0,STARBUCKS,espresso
338,1560284346.0,STARBUCKS,coffee_mug
349,24853321543.0,STARBUCKS,eggnog
350,249954911.0,STARBUCKS,cup
353,3661438510.0,STARBUCKS,cup
356,430215831.0,STARBUCKS,eggnog
358,4542441028.0,STARBUCKS,Christmas_stocking
369,10910788205.0,STARBUCKS,coffee_mug
372,11693944438.0,STARBUCKS,Christmas_stocking
375,1344578798.0,STARBUCKS,bucket
385,261378332.0,STARBUCKS,wig
390,3955267.0,STARBUCKS,bucket
393,4844414300.0,STARBUCKS,Christmas_stocking
396,5416994612.0,STARBUCKS,wig
405,8296075849.0,STARBUCKS,ice_cream
408,10910788205.0,STARBUCKS,coffee_mug
409,12269218727.0,STARBUCKS,coffee_mug
413,176371276.0,STARBUCKS,ice_cream
419,2234350863.0,STARBUCKS,coffee_mug
